query,gold_ids,missing_gold_ids,view,k,pass_at_k,hit_ids,first_hit_rank,recall_ids,recall_scores,recall_views
4399游戏盒,['5868'],[],description,1,0,[],,['52418'],[0.597905158996582],['description']
4399游戏盒,['5868'],[],description,3,1,['5868'],3.0,"['52418', '51261', '5868']","[0.597905158996582, 0.5963436961174011, 0.5866224765777588]","['description', 'description', 'description']"
steam,"['5868', '85']",[],description,1,0,[],,['33809'],[0.6381326913833618],['description']
steam,"['5868', '85']",[],description,3,0,[],,"['33809', '61468', '52418']","[0.6381326913833618, 0.6068904399871826, 0.5873453617095947]","['description', 'description', 'description']"
taptap,"['5868', '61158', '28413']",[],description,1,0,[],,['52418'],[0.7255823612213135],['description']
taptap,"['5868', '61158', '28413']",[],description,3,0,[],,"['52418', '50803', '51261']","[0.7255823612213135, 0.7055130004882812, 0.6980955600738525]","['description', 'description', 'description']"
taptap下载,['5868'],[],description,1,0,[],,['52418'],[0.6679816246032715],['description']
taptap下载,['5868'],[],description,3,0,[],,"['52418', '50803', '51261']","[0.6679816246032715, 0.6602780222892761, 0.6426514387130737]","['description', 'description', 'description']"
我的世界,"['5868', '5518', '51261']",[],description,1,0,[],,['61468'],[0.5686967372894287],['description']
我的世界,"['5868', '5518', '51261']",[],description,3,1,['51261'],3.0,"['61468', '52418', '51261']","[0.5686967372894287, 0.5642586946487427, 0.5593391060829163]","['description', 'description', 'description']"
我的世界网易官方正版,['5868'],[],description,1,0,[],,['51261'],[0.4686136841773987],['description']
我的世界网易官方正版,['5868'],[],description,3,0,[],,"['51261', '52418', '50803']","[0.4686136841773987, 0.4672642946243286, 0.45578762888908386]","['description', 'description', 'description']"
虫虫助手,['5868'],[],description,1,0,[],,['5801'],[0.6029520630836487],['description']
虫虫助手,['5868'],[],description,3,0,[],,"['5801', '61468', '50830']","[0.6029520630836487, 0.5538761019706726, 0.5522280931472778]","['description', 'description', 'description']"
4399游戏盒,['5868'],[],merged,1,0,[],,['52418'],[0.597905158996582],['description']
4399游戏盒,['5868'],[],merged,3,1,['5868'],3.0,"['52418', '51261', '5868']","[0.597905158996582, 0.5963436961174011, 0.5866224765777588]","['description', 'description', 'description']"
steam,"['5868', '85']",[],merged,1,0,[],,['33809'],[0.6381326913833618],['description']
steam,"['5868', '85']",[],merged,3,0,[],,"['33809', '61468', '52418']","[0.6381326913833618, 0.6068904399871826, 0.5873453617095947]","['description', 'description', 'description']"
taptap,"['5868', '61158', '28413']",[],merged,1,0,[],,['52418'],[0.7255823612213135],['description']
taptap,"['5868', '61158', '28413']",[],merged,3,0,[],,"['52418', '50803', '51261']","[0.7255823612213135, 0.7055130004882812, 0.6980955600738525]","['description', 'description', 'description']"
taptap下载,['5868'],[],merged,1,0,[],,['52418'],[0.6679816246032715],['description']
taptap下载,['5868'],[],merged,3,0,[],,"['52418', '50803', '51261']","[0.6679816246032715, 0.6602780222892761, 0.6426514387130737]","['description', 'description', 'description']"
我的世界,"['5868', '5518', '51261']",[],merged,1,0,[],,['61468'],[0.5686967372894287],['description']
