query,gold_ids,missing_gold_ids,view,k,pass_at_k,hit_ids,first_hit_rank,recall_ids,recall_scores,recall_views
一直,['51387'],[],description,1,0,[],,['51323'],[0.49235132336616516],['description']
一直,['51387'],[],description,3,0,[],,"['51323', '51388', '51377']","[0.49235132336616516, 0.48498934507369995, 0.47535234689712524]","['description', 'description', 'description']"
一腔热忱,['51387'],[],description,1,0,[],,['52524'],[0.4266323447227478],['description']
一腔热忱,['51387'],[],description,3,0,[],,"['52524', '51377', '51381']","[0.4266323447227478, 0.4071202278137207, 0.4054974317550659]","['description', 'description', 'description']"
一霎那,['51387'],[],description,1,0,[],,['51377'],[0.47610223293304443],['description']
一霎那,['51387'],[],description,3,0,[],,"['51377', '51323', '51388']","[0.47610223293304443, 0.4641304910182953, 0.4539785087108612]","['description', 'description', 'description']"
不知所云,['51387'],[],description,1,0,[],,['51388'],[0.511838436126709],['description']
不知所云,['51387'],[],description,3,0,[],,"['51388', '52336', '51377']","[0.511838436126709, 0.499556303024292, 0.4932534694671631]","['description', 'description', 'description']"
丧失天良,['51387'],[],description,1,0,[],,['51377'],[0.3881336450576782],['description']
丧失天良,['51387'],[],description,3,0,[],,"['51377', '51388', '52524']","[0.3881336450576782, 0.38689088821411133, 0.3861730694770813]","['description', 'description', 'description']"
临危受命,['51387'],[],description,1,0,[],,['5550'],[0.3959116041660309],['description']
临危受命,['51387'],[],description,3,0,[],,"['5550', '52523', '60293']","[0.3959116041660309, 0.3742895722389221, 0.3711976408958435]","['description', 'description', 'description']"
举国同庆,['51387'],[],description,1,0,[],,['5601'],[0.48456960916519165],['description']
举国同庆,['51387'],[],description,3,0,[],,"['5601', '51323', '61111']","[0.48456960916519165, 0.47871625423431396, 0.4528158903121948]","['description', 'description', 'description']"
乌合之众,['51387'],[],description,1,0,[],,['52524'],[0.4116958975791931],['description']
乌合之众,['51387'],[],description,3,0,[],,"['52524', '51323', '5143']","[0.4116958975791931, 0.4098151922225952, 0.40477660298347473]","['description', 'description', 'description']"
习焉不察,['51387'],[],description,1,0,[],,['51388'],[0.4889492988586426],['description']
习焉不察,['51387'],[],description,3,0,[],,"['51388', '52524', '51377']","[0.4889492988586426, 0.4838792085647583, 0.47525909543037415]","['description', 'description', 'description']"
人命关天,['51387'],[],description,1,0,[],,['51323'],[0.42509719729423523],['description']
人命关天,['51387'],[],description,3,0,[],,"['51323', '51388', '61111']","[0.42509719729423523, 0.42242705821990967, 0.4129455089569092]","['description', 'description', 'description']"
从新开始,['51387'],[],description,1,0,[],,['51388'],[0.42341285943984985],['description']
从新开始,['51387'],[],description,3,0,[],,"['51388', '51323', '51379']","[0.42341285943984985, 0.42065665125846863, 0.42014187574386597]","['description', 'description', 'description']"
份子,['51387'],[],description,1,0,[],,['51377'],[0.5662111043930054],['description']
份子,['51387'],[],description,3,0,[],,"['51377', '51388', '51381']","[0.5662111043930054, 0.5531470775604248, 0.5460672378540039]","['description', 'description', 'description']"
众矢之至,['51387'],[],description,1,0,[],,['51388'],[0.4517219364643097],['description']
